project,cwes,count
gitlab,NVD-CWE-noinfo,294
gitlab,CWE-79,200
gitlab,CWE-863,127
teamcity,CWE-79,117
gitlab,CWE-770,89
gitlab,NVD-CWE-Other,79
gitlab,CWE-862,69
gitlab,CWE-200,67
gitlab,CWE-1333,66
jenkins,CWE-79,61
gitlab,CWE-400,56
gitlab,CWE-918,52
gitlab,CWE-639,49
gitlab,CWE-22,33
jenkins,CWE-200,31
teamcity,NVD-CWE-noinfo,31
gitlab,CWE-732,30
gitlab,CWE-284,26
gitlab,CWE-601,23
teamcity,CWE-863,22
gitlab,CWE-532,22
github,CWE-863,22
gitlab,CWE-352,19
github,CWE-22,19
azure_devops,CWE-79,19
gitlab,CWE-287,19
gitlab,CWE-20,18
azure_devops,NVD-CWE-noinfo,18
github,CWE-77,18
teamcity,CWE-532,18
gitlab,CWE-94,18
jenkins,NVD-CWE-noinfo,17
gitlab,CWE-269,16
gitlab,CWE-77,16
jenkins,CWE-352,16
gitlab,CWE-209,15
jenkins,CWE-22,15
gitlab,CWE-201,14
jenkins,CWE-264,13
jenkins,CWE-862,13
github,NVD-CWE-noinfo,13
jenkins,CWE-863,13
gitlab,CWE-116,12
gitlab,CWE-1284,12
github,CWE-20,12
github,CWE-269,12
jenkins,CWE-502,11
jenkins,CWE-20,11
github,CWE-79,11
gitlab,CWE-306,10
gitlab,CWE-276,10
teamcity,NVD-CWE-Other,10
gitlab,CWE-1220,10
teamcity,CWE-22,9
teamcity,CWE-23,9
github,CWE-200,9
jenkins,NVD-CWE-Other,9
github,CWE-400,9
github,CWE-407,8
gitlab,CWE-613,8
teamcity,CWE-522,8
teamcity,CWE-276,8
gitlab,CWE-288,8
gitlab,CWE-281,8
github,CWE-697,8
gitlab,CWE-285,8
gitlab,CWE-407,7
github,CWE-367,7
argo_cd,CWE-863,7
gitlab,CWE-835,7
argo_cd,CWE-79,7
argo_cd,NVD-CWE-noinfo,6
teamcity,CWE-352,6
jenkins,CWE-770,6
gitlab,CWE-312,6
github,CWE-285,6
github,CWE-639,6
gitlab,CWE-668,6
gitlab,CWE-295,6
gitlab,CWE-286,6
gitlab,CWE-290,6
teamcity,CWE-601,6
teamcity,CWE-613,6
argo_cd,CWE-200,6
argo_cd,CWE-209,6
argo_cd,CWE-22,6
gitlab,CWE-1287,5
github,NVD-CWE-Other,5
gitlab,CWE-1021,5
teamcity,CWE-862,5
jenkins,CWE-287,5
jenkins,CWE-59,5
teamcity,CWE-918,5
gitlab,CWE-840,5
gitlab,CWE-74,5
gitlab,CWE-640,5
gitlab,CWE-425,5
gitlab,CWE-522,5
bamboo,NVD-CWE-noinfo,5
github,CWE-287,5
github,CWE-347,5
github,CWE-862,5
argo_cd,CWE-400,5
gitlab,CWE-497,4
gitlab,CWE-347,4
gitlab,CWE-434,4
teamcity,CWE-611,4
argo_cd,CWE-307,4
bamboo,CWE-79,4
teamcity,CWE-288,4
gitlab,CWE-362,4
gitlab,CWE-319,4
gitlab,CWE-80,4
github,CWE-532,4
jenkins,CWE-312,4
github,CWE-94,4
bamboo,CWE-20,4
jenkins,CWE-325,3
github,CWE-78,3
gitlab,CWE-755,3
jenkins,CWE-254,3
jenkins,CWE-203,3
gitlab,CWE-843,3
gitlab,CWE-78,3
gitlab,CWE-684,3
gitlab,CWE-708,3
teamcity,CWE-78,3
teamcity,CWE-88,3
teamcity,CWE-312,3
teamcity,CWE-1188,3
jenkins,CWE-358,3
github,CWE-502,3
gitlab,CWE-359,3
github,CWE-352,3
gitlab,CWE-213,3
gitlab,CWE-212,3
gitlab,CWE-266,3
gitlab,CWE-307,3
gitlab,CWE-367,3
github,CWE-88,3
gitlab,CWE-264,3
gitlab,CWE-250,3
teamcity,CWE-269,3
argo_cd,CWE-20,3
teamcity,CWE-306,3
teamcity,CWE-287,3
teamcity,CWE-538,3
teamcity,CWE-209,3
argo_cd,CWE-59,3
argo_cd,CWE-284,3
argo_cd,CWE-269,2
argo_cd,CWE-287,2
argo_cd,CWE-290,2
argo_cd,CWE-295,2
argo_cd,CWE-327,2
argo_cd,CWE-306,2
argo_cd,CWE-352,2
argo_cd,CWE-703,2
argo_cd,CWE-61,2
argo_cd,CWE-613,2
argo_cd,CWE-532,2
argo_cd,CWE-476,2
gitlab,CWE-330,2
gitlab,CWE-346,2
github,CWE-331,2
github,CWE-59,2
github,CWE-470,2
argo_cd,CWE-862,2
bamboo,CWE-352,2
bamboo,CWE-94,2
bamboo,CWE-863,2
teamcity,CWE-203,2
github,CWE-552,2
gitlab,CWE-270,2
gitlab,CWE-262,2
gitlab,CWE-267,2
gitlab,CWE-268,2
teamcity,CWE-285,2
github,CWE-23,2
github,CWE-451,2
gitlab,CWE-697,2
gitlab,CWE-706,2
gitlab,CWE-754,2
gitlab,CWE-798,2
gitlab,CWE-749,2
gitlab,CWE-674,2
gitlab,CWE-552,2
azure_devops,CWE-94,2
bamboo,CWE-284,2
teamcity,CWE-502,2
azure_devops,CWE-116,2
azure_devops,CWE-20,2
teamcity,CWE-200,2
teamcity,CWE-1288,2
teamcity,CWE-77,2
teamcity,CWE-770,2
teamcity,CWE-829,2
teamcity,CWE-922,2
teamcity,CWE-94,2
tekton,CWE-22,2
github,CWE-918,2
jenkins,CWE-835,2
jenkins,CWE-754,2
bamboo,CWE-180,2
azure_devops,CWE-284,2
azure_devops,CWE-77,2
teamcity,CWE-749,2
jenkins,CWE-346,2
jenkins,CWE-276,2
jenkins,CWE-209,2
gitlab,CWE-89,2
gitlab,CWE-93,2
gitlab,CWE-502,2
gitlab,CWE-459,2
gitlab,CWE-535,2
gitlab,CWE-444,2
gitlab,CWE-384,2
github,CWE-668,2
gitlab,CWE-451,2
bamboo,CWE-346,1
argo_cd,CWE-362,1
argo_cd,CWE-330,1
argo_cd,CWE-248,1
argo_cd,CWE-335,1
argo_cd,CWE-331,1
teamcity,CWE-732,1
github,CWE-601,1
github,CWE-303,1
gitlab,CWE-326,1
gitlab,CWE-305,1
gitlab,CWE-327,1
gitlab,CWE-345,1
github,CWE-201,1
github,CWE-214,1
gitlab,CWE-233,1
gitlab,CWE-23,1
teamcity,CWE-308,1
teamcity,CWE-303,1
gitlab,CWE-252,1
gitlab,CWE-279,1
gitlab,CWE-282,1
gitlab,CWE-302,1
teamcity,CWE-295,1
teamcity,CWE-284,1
teamcity,CWE-282,1
bamboo,CWE-862,1
bamboo,CWE-98,1
github,CWE-1021,1
github,CWE-125,1
bamboo,CWE-732,1
github,CWE-185,1
github,CWE-190,1
teamcity,CWE-208,1
teamcity,CWE-212,1
teamcity,CWE-223,1
teamcity,CWE-266,1
teamcity,CWE-272,1
teamcity,CWE-280,1
argo_cd,CWE-497,1
teamcity,CWE-640,1
argo_cd,CWE-599,1
teamcity,CWE-668,1
argo_cd,CWE-787,1
argo_cd,CWE-770,1
teamcity,CWE-74,1
gitlab,CWE-772,1
jenkins,CWE-17,1
jenkins,CWE-117,1
jenkins,CWE-184,1
jenkins,CWE-27,1
jenkins,CWE-284,1
gitlab,CWE-540,1
gitlab,CWE-99,1
jenkins,CWE-1021,1
gitlab,CWE-829,1
gitlab,CWE-821,1
gitlab,CWE-789,1
gitlab,CWE-787,1
gitlab,CWE-471,1
gitlab,CWE-436,1
gitlab,CWE-409,1
gitlab,CWE-565,1
gitlab,CWE-642,1
gitlab,CWE-538,1
gitlab,CWE-441,1
github,CWE-74,1
gitlab,CWE-377,1
gitlab,CWE-404,1
gitlab,CWE-424,1
github,CWE-91,1
jenkins,CWE-601,1
jenkins,CWE-532,1
jenkins,CWE-434,1
jenkins,CWE-404,1
jenkins,CWE-399,1
jenkins,CWE-400,1
jenkins,CWE-384,1
jenkins,CWE-377,1
jenkins,CWE-345,1
jenkins,CWE-367,1
jenkins,CWE-362,1
jenkins,CWE-350,1
jenkins,CWE-326,1
jenkins,CWE-330,1
jenkins,CWE-310,1
jenkins,CWE-319,1
gitlab,CWE-922,1
gitlab,CWE-841,1
jenkins,CWE-295,1
github,CWE-913,1
gitlab,CWE-1390,1
gitlab,CWE-177,1
gitlab,CWE-113,1
gitlab,CWE-1288,1
gitlab,CWE-1023,1
tekton,CWE-129,1
tekton,CWE-185,1
tekton,CWE-201,1
tekton,CWE-400,1
tekton,CWE-88,1
tekton,CWE-345,1
teamcity,CWE-939,1
jenkins,CWE-90,1
jenkins,CWE-843,1
jenkins,CWE-78,1
jenkins,CWE-772,1
jenkins,CWE-732,1
jenkins,CWE-74,1
gitlab,CWE-203,1
jenkins,CWE-613,1
gitlab,CWE-1295,1
gitlab,CWE-1289,1
teamcity,CWE-183,1
teamcity,CWE-1333,1
teamcity,CWE-201,1
teamcity,CWE-20,1
jenkins,CWE-94,1
jenkins,CWE-918,1
azure_devops,CWE-918,1
azure_devops,CWE-502,1
azure_devops,CWE-352,1
argo_cd,NVD-CWE-Other,1
bamboo,CWE-287,1
teamcity,CWE-327,1
teamcity,CWE-328,1
bamboo,CWE-200,1
teamcity,CWE-354,1
teamcity,CWE-362,1
teamcity,CWE-425,1
teamcity,CWE-367,1
teamcity,CWE-453,1
teamcity,CWE-459,1
tekton,NVD-CWE-noinfo,1
travis_ci,CWE-862,1
