project,CWE-1021,CWE-1023,CWE-113,CWE-116,CWE-117,CWE-1188,CWE-1220,CWE-125,CWE-1284,CWE-1287,CWE-1288,CWE-1289,CWE-129,CWE-1295,CWE-1333,CWE-1390,CWE-17,CWE-177,CWE-180,CWE-183,CWE-184,CWE-185,CWE-190,CWE-20,CWE-200,CWE-201,CWE-203,CWE-208,CWE-209,CWE-212,CWE-213,CWE-214,CWE-22,CWE-223,CWE-23,CWE-233,CWE-248,CWE-250,CWE-252,CWE-254,CWE-262,CWE-264,CWE-266,CWE-267,CWE-268,CWE-269,CWE-27,CWE-270,CWE-272,CWE-276,CWE-279,CWE-280,CWE-281,CWE-282,CWE-284,CWE-285,CWE-286,CWE-287,CWE-288,CWE-290,CWE-295,CWE-302,CWE-303,CWE-305,CWE-306,CWE-307,CWE-308,CWE-310,CWE-312,CWE-319,CWE-325,CWE-326,CWE-327,CWE-328,CWE-330,CWE-331,CWE-335,CWE-345,CWE-346,CWE-347,CWE-350,CWE-352,CWE-354,CWE-358,CWE-359,CWE-362,CWE-367,CWE-377,CWE-384,CWE-399,CWE-400,CWE-404,CWE-407,CWE-409,CWE-424,CWE-425,CWE-434,CWE-436,CWE-441,CWE-444,CWE-451,CWE-453,CWE-459,CWE-470,CWE-471,CWE-476,CWE-497,CWE-502,CWE-522,CWE-532,CWE-535,CWE-538,CWE-540,CWE-552,CWE-565,CWE-59,CWE-599,CWE-601,CWE-61,CWE-611,CWE-613,CWE-639,CWE-640,CWE-642,CWE-668,CWE-674,CWE-684,CWE-697,CWE-703,CWE-706,CWE-708,CWE-732,CWE-74,CWE-749,CWE-754,CWE-755,CWE-77,CWE-770,CWE-772,CWE-78,CWE-787,CWE-789,CWE-79,CWE-798,CWE-80,CWE-821,CWE-829,CWE-835,CWE-840,CWE-841,CWE-843,CWE-862,CWE-863,CWE-88,CWE-89,CWE-90,CWE-91,CWE-913,CWE-918,CWE-922,CWE-93,CWE-939,CWE-94,CWE-98,CWE-99,NVD-CWE-Other,NVD-CWE-noinfo,Total
argo_cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,0,2,4,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,3,1,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,6,92
azure_devops,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,18,50
bamboo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,5,29
github,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,9,1,0,0,0,0,0,1,19,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,3,0,0,0,0,7,0,0,0,9,0,8,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,4,0,0,0,2,0,2,0,1,0,0,0,6,0,0,2,0,0,8,0,0,0,0,1,0,0,0,18,0,0,3,0,0,11,0,0,0,0,0,0,0,0,5,22,3,0,0,1,1,2,0,0,0,4,0,0,5,13,227
gitlab,5,1,1,12,0,0,10,0,12,5,1,1,0,1,66,1,0,1,0,0,0,0,0,18,67,14,1,0,15,3,3,0,33,0,1,1,0,3,1,0,2,3,3,2,2,16,0,2,0,10,1,0,8,1,26,8,6,19,8,6,6,1,0,1,10,3,0,0,6,4,0,1,1,0,2,0,0,1,2,4,0,19,0,0,3,4,3,1,2,0,56,1,7,1,1,5,4,1,1,2,2,0,2,0,1,0,4,2,5,22,2,1,1,2,1,0,0,23,0,0,8,49,5,1,6,2,3,2,0,2,3,30,5,2,2,3,16,89,1,3,1,1,200,2,4,1,1,7,5,1,3,69,127,0,2,0,0,0,52,1,2,0,18,0,1,79,294,1724
jenkins,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,31,0,3,0,2,0,0,0,15,0,0,0,0,0,0,3,0,13,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,4,1,3,1,0,0,1,0,0,1,2,0,1,16,0,3,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,6,1,1,0,0,61,0,0,0,0,2,0,0,1,13,13,0,0,1,0,0,1,0,0,0,1,0,0,9,17,284
teamcity,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,2,1,3,1,0,0,9,1,9,0,0,0,0,0,0,0,1,0,0,3,0,0,1,8,0,1,0,1,1,2,0,3,4,0,1,0,1,0,3,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,8,18,0,3,0,0,0,0,0,6,0,4,6,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,2,2,0,3,0,0,117,0,0,0,2,0,0,0,0,5,22,3,0,0,0,0,5,2,0,1,2,0,0,10,31,345
tekton,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9
travis_ci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,7,1,1,14,1,3,10,1,12,5,3,1,1,1,67,1,1,1,2,1,1,2,1,51,116,17,6,1,26,4,3,1,84,1,12,1,1,3,1,3,2,16,4,2,2,33,1,2,1,20,1,1,8,2,35,16,6,35,12,8,10,1,2,1,15,7,1,1,13,5,3,2,4,1,4,3,1,3,5,9,1,49,1,3,3,7,12,2,3,1,72,2,15,1,1,6,5,1,1,2,4,1,3,2,1,2,5,19,13,47,2,4,1,4,1,10,1,31,2,4,17,55,6,1,9,2,3,10,2,2,3,33,8,4,4,3,38,98,2,10,2,1,419,2,4,1,3,9,5,1,4,96,193,7,2,1,1,1,61,3,2,1,29,1,1,104,385,2761
