year,argo_cd,azure_devops,bamboo,github,gitlab,jenkins,teamcity,tekton,travis_ci,Total
2011,0,0,0,0,0,1,0,0,0,1
2012,0,0,1,2,0,2,0,0,0,5
2013,0,0,0,0,0,10,0,0,0,10
2014,0,0,0,0,7,21,0,0,0,28
2015,0,0,0,0,0,19,2,0,0,21
2016,0,0,4,0,1,16,0,0,0,21
2017,0,0,5,0,8,5,0,0,0,18
2018,0,0,7,0,48,57,0,0,0,112
2019,0,15,1,1,164,25,18,0,0,224
2020,0,8,0,3,235,20,18,0,0,284
2021,5,2,1,12,155,30,38,0,1,244
2022,14,0,2,15,150,9,29,0,0,219
2023,8,9,1,32,175,14,35,1,0,275
2024,14,3,2,41,145,6,65,0,0,276
2025,7,0,0,11,165,15,48,0,0,246
2026,0,1,0,14,76,4,3,7,0,105
Total,48,38,24,131,1329,254,256,8,1,2089
